path	phase	portability	need	what	adapts	status	successor_or_product
tools/idiom_loop.py	P8	ADAPT	drain the easy fuel, learn the next idiom, hand off, repeat	Never-ending meta-loop: drain the easy fuel, learn the next idiom, hand off	repo scratch paths	SUPERSEDED	tools/idiom_serial.py
tools/idiom_serial.py	P8	ADAPT	learn idioms serially so each target inherits what the previous one taught	The serial idiom-learning lane where each step inherits what the previous learned	repo scratch paths	LIVE	
tools/idxtab_map.py	PROJECT-ONLY	PROJECT-ONLY	decode an on-disc index table into a payload-to-binary naming map	Decodes one game's on-disc index table and its payload-to-binary naming convention — the load map itself is a Phase-2 task	project-only	LIVE	
tools/inject_capped_externs.py	P6	ADAPT	free duplicate matches a share propagation skips as not self-contained	Frees high-reach inline matches skipped as not self-contained by injecting their file-scope externs	repo shared-header layout	FROZEN	tools/share_body.py
tools/integration_resolver.py	P8	ADAPT	re-judge already byte-correct drafts and bank them for zero model tokens	Zero-token lane re-judging drafts that are already byte-correct and banking them	repo scratch paths	LIVE	
tools/interleave_check.py	P6	ADAPT	assert a read-only-data carve's interleave order equals the segment sequence	Asserts the carve interleave order equals the segment sequence, position by position	repo config layout	STILL-NEEDED	assert a read-only-data carve's interleave order equals the segment sequence
tools/journal_notes.py	P8	ADAPT	mine each function's own past-attempt history out of agent journals	Mines per-function past-attempt notes out of the agent journals into card fuel	agent transcript paths	LIVE	
tools/jr_isolate.py	P6	ADAPT	isolate one switch function into its own segment for an independent table carve	Isolates one switch function into its own code segment for an independent table carve	repo config/src layout	SUPERSEDED	tools/jr_isolate_all.py
tools/jr_isolate_all.py	P6	ADAPT	isolate every switch function in a binary in one multi-cut resegment	One-shot multi-cut resegment isolating every switch function in a binary	repo config/src layout	LIVE	
tools/jtbl_carve.py	P6	ADAPT	set up the read-only-data carve for a binary's matched jump-table functions	Sets up the read-only-data carve for a binary's matched jump-table functions	repo config/build layout	LIVE	
tools/jtbl_family_bank.py	P6	ADAPT	bank a matched jump-table exemplar across its siblings, reverting on failure	Banks a matched jump-table exemplar across its structural siblings, revert-on-fail	repo config/src layout	LIVE	
tools/jtbl_lane.py	P8	ADAPT	carve, draft and bank jump-table functions as their own lane	Carve, draft and bank lane for jump-table functions, with the carve deliberately outside it	repo config/src layout	LIVE	
tools/jtbl_pads_fix.py	P6	ADAPT	repair a stale padding spec by search plus byte proof, never by guessing	Repairs a stale padding spec by search plus byte proof, never by guessing	repo config layout	LIVE	
tools/jtbl_rodata_pads.py	P6	ADAPT	reproduce the original inter-table padding in a multi-table carve	Post-assembler filter reproducing the original inter-table padding in a multi-table carve	compiler/assembler behaviour, repo build paths	LIVE	
tools/kit_coverage.py	P9	ADAPT	assert that the distilled kit cites or dispositions every rule and every hindsight entry of the source project (no silent gap in the distillation)	Derives the rule and accelerator populations from the digest and the ledger, matches them against the kit's provenance lines, refuses an uncovered entry unless config/kit_coverage_map.tsv dispositions it	repo digest/ledger/kit paths + the provenance citation forms	LIVE	
tools/kit_lint.py	P9	ADAPT	keep a portable starter kit free of one project's names, paths and numbers	Keeps the day-one kit free of the source project's names, paths, addresses and rule numbers, honours its placeholder contract, and syntax-checks its scripts	the kit path and the source project's leak pattern	LIVE	
tools/lane_inflight.py	P8	ADAPT	know authoritatively which drafting agents are currently live	The authoritative ledger of which drafting agents are currently live	repo scratch paths	LIVE	
tools/lanes/bounce_drafter_on_queue.sh	P8	ADAPT	restart a drafting worker at a queue boundary so new arguments apply	Waits for the in-flight wave to queue, then restarts the drafting process	lane script paths	SUPERSEDED	tools/lanes/relaunch_drafter_shell.sh
tools/lanes/campaign.sh	P8	ADAPT	run two drafting pools against one serial gate	Dual-pool campaign lane: two drafting pools, one serial gate	provider config, repo paths	LIVE	
tools/lanes/distill.sh	P8	ADAPT	run distillation beside drafting so learned idioms reach the next wave	The distillation lane, running beside drafting and never in front of it	repo scratch paths	STILL-NEEDED	run distillation beside drafting so learned idioms reach the next wave
tools/lanes/drafter.sh	P8	ADAPT	keep drafting running continuously, touching only scratch state	The drafting lane that must never stop; touches only scratch state	repo scratch paths, provider config	LIVE	
tools/lanes/elastic.sh	P8	ADAPT	spend spare provider capacity on other work when the gate is the constraint	Spends spare provider capacity on extra work when the main lane cannot	provider config, repo paths	STILL-NEEDED	spend spare provider capacity on other work when the gate is the constraint
tools/lanes/forever.sh	P8	ADAPT	keep an unattended campaign loop alive across run caps and crashes	Keeps the wave campaign running indefinitely across caps and crashes	repo scratch paths	STILL-NEEDED	keep an unattended campaign loop alive across run caps and crashes
tools/lanes/gater.sh	P8	ADAPT	run a restartable gating lane that is safe to kill at any time	The restartable gating lane, safe to kill and relaunch at any time	job count, repo paths	LIVE	
tools/lanes/grinder_lane.sh	P8	ADAPT	run the token-free permuter grinder beside a saturated gate	Runs the model-free permuter grinder beside a saturated gater	repo scratch paths	STILL-NEEDED	run the token-free permuter grinder beside a saturated gate
tools/lanes/launch_ox.sh	P8	ADAPT	launch a sharded unattended campaign run with a tag and shard count	Launcher for a sharded campaign run with a tag and shard count	provider key file, repo paths	ONE-OFF	the sharded overnight campaign run it launched (its key file, endpoint and model are that campaign's)
tools/lanes/main.sh	P8	ADAPT	run the executable's own lane loop on its clean-rebuild cadence	The executable's own lane loop, on its clean-rebuild cadence	repo make targets	LIVE	
tools/lanes/maintenance.sh	P8	ADAPT	run the free recovery and re-judgement passes whenever the gate is idle	The maintenance lane running the free recovery and re-judgement passes	repo scratch paths	STILL-NEEDED	run the free recovery and re-judgement passes whenever the gate is idle
tools/lanes/relaunch_drafter_shell.sh	P8	ADAPT	restart the drafting lane's shell at a queue boundary so new arguments apply	Waits for a wave to queue, then restarts the drafting lane's shell so new arguments apply	lane script paths	STILL-NEEDED	restart the drafting lane's shell at a queue boundary so new arguments apply
tools/lanes/resolver_lane.sh	P8	ADAPT	re-judge, verify twice, stage and gate correct drafts for zero tokens	The zero-token resolver lane: re-judge, verify twice, stage, gate, commit	repo scratch paths	STILL-NEEDED	re-judge, double-verify, stage and gate already-correct drafts for zero model tokens
tools/lanes/restart_gater_when_idle.sh	P8	ADAPT	restart the gating lane's shell between gates so a jobs change lands	Restarts the gating lane's shell once the current gate finishes	lane script paths	STILL-NEEDED	restart the gating lane's shell between gates so a jobs change lands
tools/lanes/restart_main_lane_when_idle.sh	P8	ADAPT	restart the executable lane's shell at its one safe boundary	Restarts the executable lane's shell at its one safe boundary	lane script paths	STILL-NEEDED	restart the executable lane's shell at its one safe boundary without losing work
tools/lanes/sibling_lane.sh	P8	ADAPT	drive structural sibling sweeps with synthesized declarations, free of model tokens	The free sibling lane driving structural sweeps with synthesized declarations	repo paths	STILL-NEEDED	drive structural sibling sweeps with synthesized declarations, free of model tokens
tools/lanes/stallguard.sh	P8	ADAPT	detect and repair lane stalls automatically on measured conditions	Detects and repairs lane stalls on measured conditions every minute, logging each action	lane names, repo paths	STILL-NEEDED	detect and repair lane stalls automatically on measured conditions
tools/lanes/toolwork.sh	P8	ADAPT	run tooling-design briefs against an external model with the build config	Runs tooling-design briefs against an external model with build config as context	provider config, repo paths	ONE-OFF	the tooling-design briefs it ran against an external model (its key, endpoint and model are that era's)
tools/lanes/wait_distill.sh	P8	ADAPT	block until a background lane raises its next batch, without polling	Blocks until the distillation lane raises the next batch, then exits	repo scratch paths	STILL-NEEDED	block until a background lane raises its next batch, without polling
tools/launch_check.py	P8	ADAPT	refuse to launch an agent at a target that is already banked	Refuses to launch an agent at a target that is already banked	repo src layout	LIVE	
tools/ld_interleave.py	P3	ADAPT	reorder a generated linker script to reproduce the original section interleaving	Reorders a generated linker script to reproduce the original section interleaving	repo build paths	LIVE	
tools/len_tells.py	P7	ADAPT	classify a length-drift near-miss against its own target and build its routing card	Classifies a length-drift near-miss against its own target and builds the routing card	repo scratch paths	LIVE	
tools/lenmiss_route.py	P7	ADAPT	route a length-drift near-miss pile through the documented lenses, re-verified	Routes the length-drift near-miss pile through the documented lenses, re-verified against the tree	repo scratch paths	ONE-OFF	the routed outcome of one length-drift near-miss pile (it consumes that audit's classified ledger)
tools/lever_census.py	P10	ADAPT	census every compiler-forcing construct in the C and gate the levers-off phase	The Phase-36 census of lever sites (register pins, asm statements by kind, volatile levers, bare register, asm-label aliases, builtins, attributes; the whole-body hand-asm routines and the GTE ops set apart) derived from the shared-body scanner with a per-token coverage assertion against the raw text, four known-true controls, the !FAKE marker split, --check (0 unmarked pins/asm, 0 orphan markers) and --strict (0 pins, 0 asm) gates, --sites for the delever ledger, a fixture self-test	repo paths, the shared-body scanner	LIVE	
tools/lift_types.py	P6	ADAPT	lift a named list of types fleet-wide into the shared type header — the canonical type layer from the first bank (Phase 6, the multiplier); again at readability (Phase 10)	Lifts a named list of types fleet-wide into the shared type header	repo shared-header path	LIVE	
tools/lint_symbol_refs.py	P10	ADAPT	flag address-named references whose address now has a curated name	Flags address-named references in committed sources whose address now has a curated name	repo symbol/src paths	LIVE	
tools/lora_grind.py	P8	ADAPT	rotate binaries drafting small stubs with a served model, gating and propagating	Mass-run driver rotating binaries, drafting small stubs with a served model, gating, propagating	repo scratch paths, model endpoint	LIVE	
tools/macro_draft.py	P6	ADAPT	materialize a shared macro body back into a compilable standalone draft	Materializes a shared macro body back into a compilable standalone draft	repo shared-header layout	ONE-OFF	the per-function headers under src/shared/ (Phase 35 T4; the macro form is gone)
tools/macro_to_header.py	P10	PROJECT-ONLY	convert a shared-body macro header into per-function plain-C headers included at each site	The Phase-35 converter: every DEFINE_ macro body becomes a plain-C header under src/shared/<space>/ included at its site, the legacy name-parameterized headers converted, the registry text-edited, the macro header deleted; --plan / --apply / --finalize / --verify	the macro form is this project's; a kit-born project shares headers from its first bank	LIVE	
tools/main_diff_locate.py	P7	ADAPT	turn a red whole-binary result into a named list of divergent symbols	Turns a red whole-binary result into a named list of divergent symbols	repo build/config layout	LIVE	
tools/main_lane.py	P8	ADAPT	run the executable's own draft, gate and commit cadence beside other lanes	The executable's own draft, gate and commit cadence beside the other lanes	repo build/make targets	LIVE	
tools/main_queue_rebuild.py	P8	ADAPT	rebuild the executable lane's queue from the tree, never from a stale list	Rebuilds the executable lane's queue from the tree, never from a stale list	repo src layout	LIVE	
tools/main_seed_ends.py	P2	ADAPT	emit function start and length seeds for the executable's own code objects	Emits function start/length seeds for the executable's game-code objects, derived from the build	repo build paths	LIVE	
tools/make_apicard_used.py	PROJECT-ONLY	PROJECT-ONLY	list the interface library's objects and address window the executable actually links	Hard-codes one executable's interface-library address window and object roster	project-only	LIVE	
tools/make_libgs.sh	PROJECT-ONLY	PROJECT-ONLY	assemble a vendor graphics library's object list and address blocks for linking	Hard-codes one executable's exact vendor object list and address blocks	project-only	LIVE	
tools/make_snd_used.py	PROJECT-ONLY	PROJECT-ONLY	list a sound library's address window and per-address exclusions	Hard-codes one executable's sound-library address window and per-address exclusions	project-only	LIVE	
tools/masked_diff.py	P4	PORTABLE	compare instructions with relocations masked, shared by matcher and scorer	Shared relocation-masked instruction comparison used by the matcher and the permuter scorer	MIPS relocation encodings	LIVE	
tools/masked_scorer.py	P7	ADAPT	score permuter candidates on true masked code closeness, not mnemonic diff	Drop-in permuter scorer scoring true relocation-masked code closeness instead of mnemonic diff	permuter internals, repo module paths	LIVE	
tools/match_one.py	P4	ADAPT	compile one function standalone and compare its masked bytes to the target	Compiles one function standalone with the pinned toolchain, masks relocations, compares to target bytes	compiler triple, repo build flags	LIVE	
tools/match_protos.py	P6	ADAPT	join two related builds' signature dumps into a function correspondence	Joins per-function signature dumps of two related builds into a function correspondence	repo signature files	LIVE	
tools/mine_hindsight.py	P9	ADAPT	gather every recorded hindsight into one document with file and line anchors	Gathers every recorded hindsight with file and line anchors into one document	repo doc paths	STILL-NEEDED	kept: every project writes its retrospective from anchored records — the PhaseEnd narrative axis feeds exactly this tool
tools/mk_write.py	P3	ADAPT	write the generated binary-registry makefile safely, validating before replacing	The only safe writer of the generated binary-registry makefile; validates before replacing	repo config path	LIVE	
tools/neighbor_ref.py	P8	ADAPT	rank already-matched functions worth reading as worked examples for an open stub	For an open stub, ranks already-matched functions worth reading as worked examples	repo signature files	LIVE	
tools/new_binary.sh	P3	ADAPT	onboard any flat blob in one command: config, registry entry, first build	One-command onboarding of any flat blob: config from template, registry entry, first build	repo config/template paths, the source game's payload classes	LIVE	
tools/new_overlay.sh	PROJECT-ONLY	PROJECT-ONLY	onboard one payload by its container and file-index naming	Takes one game's container and file-index naming as its command-line contract	project-only	LIVE	
tools/normalize_self_decls.py	P6	ADAPT	normalize a function's own declaration when a templated definition lands in a new unit	Normalizes a function's own declaration when a templated definition lands in a new unit	repo src layout	FROZEN	tools/share_body.py
tools/o0_boundary.py	P6	ADAPT	find and bank unoptimized functions stranded at an optimized region's boundary	Finds and banks unoptimized functions stranded at the end of an unoptimized region	repo config layout	STILL-NEEDED	find and bank unoptimized functions stranded at an optimized region's boundary
tools/o0_detect.py	P6	ADAPT	answer from a prologue whether a function was built unoptimized	The single place that answers whether a function was built unoptimized, from its prologue	compiler prologue shape	LIVE	
tools/o0_subsplit.py	P6	ADAPT	route an unoptimized address range sitting inside an otherwise optimized object	Routes an unoptimized address range that sits inside an otherwise optimized object	repo config layout	FROZEN	the Makefile -O0 globs (tools/rollout_o0.py)
tools/objdiff_report.py	P9	PORTABLE	convert progress metrics into an external progress-report schema	Converts the progress JSON into the external progress-report schema	external report schema	LIVE	
tools/oracle/reg_renumber_swap.sh	P7	ADAPT	decide whether a residual reorder is scheduling or a register-grant consequence	Mechanized oracle separating a register-allocation swap from a scheduling reorder	compiler triple, repo scratch paths	STILL-NEEDED	decide whether a residual reorder is a scheduling choice or a register-grant consequence
tools/oracle_reorder.py	P5	ADAPT	decide whether a near-miss residual is a source defect or an assembler artifact	Decides whether a near-miss residual is a source defect or an assembler artifact	pinned assembler flags	LIVE	
tools/orchestrator.py	P8	ADAPT	pick the pool, emit the batch and record the cycle, deterministically	The deterministic half of the unattended loop: pick the pool, emit the batch, record the cycle	repo scratch paths	LIVE	
tools/overlay_src_split.py	P6	ADAPT	partition a source file at object boundaries, aware of comment state	Comment-state-aware partition of a source file, the oracle for the split chain	repo src layout	LIVE	
tools/ox_campaign.py	P8	ADAPT	loop draw, draft, pre-filter, gate, commit and ledger unattended	The unattended wave loop: draw, draft, pre-filter, gate, commit, ledger, repeat	repo scratch paths, provider config	LIVE	
tools/p16_improve.py	P5	ADAPT	revert known answers to stubs and categorize every harness failure it exposes	Known-answer loop: reverts matched functions to stubs and measures the real pipeline	repo src/build paths	FROZEN	tools/share_body.py
tools/p16_known_answer.py	P5	ADAPT	validate a scaffold pipeline against known answers across difficulty bands	Graduated known-answer validation of the scaffold pipeline across difficulty bands	repo paths	SUPERSEDED	tools/p16_improve.py
tools/p16_permute.py	P7	ADAPT	drive the permuter per function, building base, target and settings	Per-function permuter driver building base, target and settings, then reporting closeness	repo scratch paths, permuter layout	LIVE	
tools/pads_audit.py	P6	ADAPT	derive an object's inter-table padding spec from the bytes instead of searching	Derives each object's padding spec from the bytes instead of searching for it	repo build/config layout	STILL-NEEDED	derive an object's inter-table padding spec from the bytes instead of searching
tools/parallel_gate.py	P8	ADAPT	gate many binaries concurrently in isolated worktrees and merge only passers	Gates many binaries concurrently in isolated worktrees and merges only the passers	repo worktree/build layout	LIVE	
tools/payload_base_evidence.py	P2	ADAPT	rank candidate load addresses for a payload that was never onboarded	Ranks candidate load addresses for an unonboarded payload from pointers, self-calls and upper-half reach	the source game's payload map	STILL-NEEDED	rank candidate load addresses for a payload that was never onboarded
tools/permuter/compile.sh	P7	ADAPT	compile a permuter candidate exactly as the build rule does	The permuter's compile command, mirroring the build rule exactly so objects are build-faithful	compiler triple, repo build flags	LIVE	
tools/permuter/compile_o0.sh	P7	ADAPT	compile a permuter candidate unoptimized, exactly as the build rule does	Unoptimized variant of the same permuter compile command	compiler triple, repo build flags	LIVE	
tools/permuter/run_masked.py	P7	ADAPT	run the permuter with a masked scorer rebound, without patching it	Runs the permuter with the masked scorer rebound before its entry point, without patching it	permuter internals, repo module paths	LIVE	
tools/permuter_ils.py	P7	ADAPT	warm-restart the permuter from its best waypoint each cycle	Iterated-local-search wrapper warm-restarting the permuter from the best waypoint each cycle	permuter layout, repo scratch paths	LIVE	
tools/permuter_sweep.py	P7	ADAPT	hand a batch's near-misses to the permuter, only the ones worth CPU	Hands a batch's near-misses to the permuter, but only the ones worth the CPU	repo scratch paths	LIVE	
tools/permuter_weights.py	P7	PORTABLE	steer permuter mutation toward the lever family the residual class implies	Directs permuter mutation toward the lever family the residual class implies	permuter settings format	LIVE	
tools/plumbing_groups.py	P5	ADAPT	group recorded declaration-conflict failures into sweepable work groups	Groups recorded declaration-conflict failures into sweepable work groups from the ledgers	repo ledger paths	SUPERSEDED	tools/gate_triage.py
tools/prefetch_fleet.py	P2	ADAPT	batch-decompile one representative per distinct open class into a cache	Batch headless decompilation of one representative per distinct open class into a cache	repo paths, binary registry	LIVE	
tools/pregate_check.py	P8	ADAPT	validate a batch's declaration compatibility in seconds without building it	Validates a batch without building it, in seconds instead of minutes	repo src layout	LIVE	
tools/progress.py	P9	ADAPT	compute and publish progress metrics as report, machine data and per-binary breakdowns	Computes and publishes the progress metrics as report, JSON and per-binary breakdowns	repo src/config layout	LIVE	
tools/psyq_bss_probe.py	P3	ADAPT	ask whether an object's scattered zero-init section can be placed byte-exactly	Asks whether an object's scattered zero-init section can be split and placed byte-exactly	PS1 SDK object shape	LIVE	
tools/psyq_bss_split.py	P3	PORTABLE	split one zero-init section of an object into per-base no-bits pieces	Rewrites an ELF object, splitting one zero-init section into per-base no-bits pieces	ELF32 REL layout	LIVE	
tools/psyq_build_libs.sh	P3	ADAPT	convert vendor library members to the linker's format and archive them	Converts vendor library members to ELF and archives them per library	PS1 SDK, repo scratch paths	LIVE	
tools/psyq_identify.py	P3	ADAPT	locate where vendor library objects are linked in a target image	Locates where vendor library objects are linked in a target image via relocation-masked patterns	PS1 SDK objects	LIVE	
tools/psyq_integrate.py	P3	ADAPT	wire real library objects into the split build, replacing stub subsegments	Wires real library objects into the split build, replacing stub subsegments	repo config/build paths	LIVE	
tools/psyq_lib_split.py	P3	ADAPT	split a vendor library archive into its member objects	Splits a vendor linker-format library archive into its member objects	PS1 SDK archive format	LIVE	
tools/psyq_libs_from_disc.py	P3	ADAPT	extract vendor SDK library files from the vendor's runtime-library disc	Extracts vendor SDK library files from the vendor's runtime-library disc image	vendor disc layout, PS1 SDK	LIVE	
tools/psyq_link.py	P3	ADAPT	link one vendor object at a fixed address so its code is byte-identical	Links one vendor object at a fixed address so its code is byte-identical to the target	PS1 SDK, repo build paths	LIVE	
tools/psyq_link_lib.py	P3	ADAPT	link every used object of a vendor library and byte-verify each	Driver linking every used object of a library and byte-verifying each	PS1 SDK, repo paths	STILL-NEEDED	link every used object of a vendor library and byte-verify each
tools/psyq_link_region.py	P3	ADAPT	link a whole library's objects in place of stubs, placing data no-load	Links a whole library's objects in place of stubs, placing non-code sections as no-load	PS1 SDK, repo paths	LIVE	
tools/public_rewrite/absent_scan.py	P9	ADAPT	assert nothing purged remains in any object, message or ref	Asserts nothing purged remains in any object, message or ref	repo scratch paths	STILL-NEEDED	"kept: the history-rewrite package is one unit — the runbook's ""if bytes got in anyway"" path needs it whole"
tools/public_rewrite/build_commit_map.py	P9	ADAPT	emit the public ordinal-to-hash map and the private old-to-new map	Emits the public ordinal-to-new-hash map and the private old-to-new map	repo doc/scratch paths	LIVE	
tools/public_rewrite/common.py	P9	ADAPT	share the purge rules and derived hash sets across the rewrite package	Shared purge rules, derived hash sets and helpers for the history-rewrite package	repo scratch paths	LIVE	
tools/public_rewrite/gate_scan.py	P9	ADAPT	prove no derived blob is reachable from the refs about to be pushed	History gate: no derived blob reachable from the given refs, four derived checks	repo declaration files	LIVE	
tools/public_rewrite/hash_dict.py	P9	ADAPT	map every old commit hash to an inert token, privately	Builds the private dictionary mapping every old commit hash to an inert token	repo scratch paths	LIVE	
tools/public_rewrite/probe_github.sh	P9	ADAPT	probe whether old commit hashes still resolve on the hosting service	Probes whether old commit hashes still resolve on the hosting service after a purge	hosting service API, repo name	LIVE	
tools/public_rewrite/resolve_tokens.py	P9	ADAPT	turn ordinal tokens back into shortest-unique hashes at the rewritten tip	Turns ordinal tokens back into shortest-unique hashes at the rewritten tip	repo tracked text files	LIVE	
tools/public_rewrite/run_filter.py	P9	ADAPT	run a history rewrite inside a bare clone, refusing to run elsewhere	Composes and runs the history rewrite inside a bare clone, refusing to run elsewhere	rewrite tool version, repo scratch paths	STILL-NEEDED	"kept: the history-rewrite package is one unit — the runbook's ""if bytes got in anyway"" path needs it whole"
tools/public_rewrite/scrub.py	P9	ADAPT	scrub one text with the rewrite's rules, with a sample and self-test	The single scrub function of the history rewrite, plus its sample and self-test	purge rules, repo scratch paths	LIVE	
tools/public_rewrite/verify_rewrite.py	P9	ADAPT	prove pairwise that a rewrite changed only what it was told to	Pairwise proof that the rewrite changed only what it was told to change	repo scratch paths	LIVE	
tools/r22_verify.sh	P8	ADAPT	verify the whole fleet exclusively on a clean tree and clear deferred debt	Exclusive clean-tree fleet verification that also clears deferred-check debt	repo make targets	LIVE	
tools/ram_probe.py	P2	ADAPT	capture and diff live console memory across scenarios to type struct fields	Captures, diffs and reads emulator main RAM over its web API for field typing	emulator host/port, 2 MB console RAM map	STILL-NEEDED	capture and diff live console RAM across scenarios to type struct fields
tools/reconcile_slate.py	P6	ADAPT	drive a whole batch to declaration-compatible before any rebuild is spent	Drives a whole batch to declaration-compatible before any rebuild is spent	repo src layout	SUPERSEDED	tools/pregate_check.py
tools/reconcile_tu.py	P6	ADAPT	conform a draft's data declarations to what its destination unit can see	Conforms a draft's data declarations to what the destination translation unit can actually see	repo src layout	LIVE	
tools/recover_drafts.py	P8	ADAPT	recover deleted agent draft files from a run's transcripts	Recovers agent-written draft files from a run's transcripts after they were deleted	agent transcript paths	SUPERSEDED	tools/agent_drafts_restore.py
tools/recover_giant.py	P8	ADAPT	recover a large draft rejected only on declaration plumbing, with canonical externs	Canonical-extern recovery for a large draft rejected only on declaration plumbing	repo shared-header layout	FROZEN	tools/share_body.py
tools/recover_integration.py	P8	ADAPT	drive batch integration recovery over a directory of correct-but-rejected drafts	Batch integration recovery driver over a wave directory of correct-but-rejected drafts	repo scratch/src layout	LIVE	
tools/recover_rejects.py	P8	ADAPT	turn pre-gate rejects back into bankable drafts for zero model tokens	Turns pre-gate rejects back into bankable drafts for zero model tokens	repo scratch paths	LIVE	
tools/recover_route.py	P8	ADAPT	name the one recovery tool that actually applies to a drop verdict	Given a drop verdict, names the one recovery tool that actually applies	repo scratch paths	LIVE	
tools/reloc_identity.py	P5	ADAPT	check the symbol identity the masked comparison deliberately hides	Disagreeing oracle checking the symbol identity the masked comparison deliberately hides	repo build paths	LIVE	
tools/reloc_verify.py	P5	ADAPT	resolve every relocation in a draft and compare the resolved words to target	Resolves every relocation in a draft and compares the resolved words to the target	repo build paths	STILL-NEEDED	catch a wrong-symbol or wrong-address draft the masked comparison scores as matching
tools/reorder_passthrough.py	P3	ADAPT	restore the assembler-reorder build path for objects originally assembled that way	Restores the assembler-reorder build path for the objects originally assembled that way	pinned assembler flags, repo build paths	LIVE	
tools/residual_class.py	P7	PORTABLE	map a residual to a named codegen class by decoding its words	Deterministic decoder-based classifier mapping a residual to a named codegen class	MIPS encodings	LIVE	
tools/residual_rules.py	P7	ADAPT	turn a measured residual into the specific documented lever that addresses it	Turns a measured residual into the specific documented lever that addresses it	repo doc paths	SUPERSEDED	tools/residual_rules_b.py
tools/residual_rules_b.py	P7	ADAPT	classify a residual's shape to its documented lever, as an independent implementation	Independent second implementation of residual-shape to rule classification, for head-to-head	repo doc paths	LIVE	
tools/restage_matching.py	P8	ADAPT	re-stage only drafts that match in their real unit so one failure is isolated	Re-stages only the drafts that compile and match in their real unit, so one failure is isolated	repo src layout	STILL-NEEDED	re-stage only drafts that match in their real unit so one failure is isolated
tools/restore_dropped_decls.py	P6	ADAPT	restore file-scope declarations a share propagation deleted with the body	Puts back file-scope declarations a share propagation deleted with the body	repo src layout	FROZEN	tools/share_body.py
tools/rollout_o0.py	P6	ADAPT	roll an unoptimized definition atomically across every binary carrying it	Generalized two-file atomic rollout of an unoptimized definition across every binary carrying it	repo src/config layout	LIVE	
tools/rtu_match.py	P4	ADAPT	splice a candidate into a copy of its real translation unit and compare bytes	Splices a candidate into a copy of the real translation unit and checks the same bytes	repo src layout, compiler triple	LIVE	
tools/rtu_second_chance.py	P4	ADAPT	re-judge standalone compile failures against their real translation unit before dropping	Re-judges standalone compile-failures against their real translation unit before dropping them	repo scratch paths	LIVE	
tools/rtu_shadow.py	P5	ADAPT	measure gate inversion by running the real-unit check in shadow beside the gate	Runs the real-translation-unit check in shadow beside the gate to measure gate inversion	repo scratch paths	ONE-OFF	the measured gate-inversion decision (whether the cheap real-unit check should become the gate's stage 0)
tools/scan_leftovers.py	P8	ADAPT	re-verify every draft already on disk and bank the free wins	Re-verifies every draft already on disk and banks the free wins	repo scratch paths	SUPERSEDED	tools/integration_resolver.py
tools/scope_data_externs.py	P6	ADAPT	place a templated body's data externs at a scope the destination accepts	Places a templated body's data externs at the scope the destination unit can accept	repo src layout	LIVE	
tools/scope_demote_drafts.py	P6	ADAPT	demote declaration scope as one rung of the recovery ladder	The scope-demote step, wired as a rung of the recovery ladder	repo src layout	LIVE	
tools/scope_tu_externs.py	P6	ADAPT	move a unit's file-scope data externs down into their consumers	Moves a unit's own file-scope data externs down into their consumers to legalize a block-scope type	repo src layout	LIVE	
tools/seed_ref.py	P8	ADAPT	find an already-banked body that matches an open stub, near and contained tiers	For an open stub, finds the already-banked body that matches it, including near and contained tiers	repo signature files	LIVE	
tools/serve_local.py	P8	ADAPT	serve a fine-tuned model locally behind a chat-completions endpoint	Serves the fine-tuned model locally behind a chat-completions endpoint	training venv, GPU assumptions	LIVE	
tools/share_body.py	P10	ADAPT	share one byte-identical function class across its binaries through an include-at-site header, gated per binary	The Phase-35 successor of dedup_propagate + dedup_extend for the include-at-site form: exemplar by majority text, the header written once, every private copy replaced by the include at its position, per-binary byte gate with object comparison, bisect on red, the registry appended or extended by text, the exception ledger on refusal; --plan / --apply --bucket extend|new	repo paths, the registry and signature schemas	LIVE	
tools/share_body_cycle.sh	P10	ADAPT	run the share-body batch cycle unattended: batch, verify by exit code, log, commit, periodic clean fleet check	The Phase-35 T5 driver for bucket new: per batch share_body --apply --bucket new --batches 1 --label new<k>, the gated N/N line read, the phase log entry appended, the bank committed the moment it is green, the clean fleet run every N batches — stops on the first red	repo paths, the phase-log format, the fleet count from config/check.*.sha	LIVE	
tools/delever_cycle.sh	P10	ADAPT	run the de-lever batch cycle unattended: batch, verify by exit code, clean fleet gate, census, log, commit	The Phase-36 T3/T4 driver: per batch a clean-tree check, the oracle recalibrated when stale, delever --apply read by exit code and its final X/X line, the clean fleet run as the outer gate (218/218), the census rerun, the phase-log entry and the checkpoint headline, one commit per batch; stops on the first red with the files in place for --restore	the batch size, the aliases, the fleet count	LIVE	
tools/share_census.py	P10	ADAPT	measure duplicate function bodies across the fleet and assert one source per unique function	The census of byte-identical function classes across every binary with their source forms and verdicts, plus the S1 invariant check with its exception ledger and a fixture self-test	repo paths, the registry and signature schemas	LIVE	
tools/shared_lock.py	P8	ADAPT	hold one reader/writer lock over the shared source state for concurrent lanes	One reader/writer lock over the shared source state for concurrent lanes	repo lock paths	LIVE	
tools/sig_image.py	P6	PORTABLE	sign every function of a flat image at a known base, without a disassembler	Disassembler-free per-function signer for a flat image at a known base, field-identical to the dumper	MIPS encodings, repo scratch paths	LIVE	
